name,count,aliases,has fusion genres,influenced genres,subgenres,influenced by,subgenre of,fusion of
rock,1425580,"rock music","bard rock, blues rock, country rock, electronic rock, funk rock, industrial rock, pop rock, rap rock","british rhythm & blues, forró universitário, koplo, nuevo flamenco, outlaw country, progressive bluegrass, progressive country, rasin, rock musical, samba-rock, third wave ska, vude","acoustic rock, afro rock, alternative rock, anatolian rock, aor, arena rock, art rock, christian rock, classic rock, comedy rock, dance-rock, experimental rock, folk rock, freakbeat, garage rock, glam rock, gothic rock, hard rock, heartland rock, instrumental rock, jam band, jazz rock, latin rock, mainstream rock, mangue beat, math rock, miejski folk, mod, neo-rockabilly, new wave, noise rock, occult rock, piano rock, pop yeh-yeh, post-punk, post-rock, progressive rock, proto-punk, psychedelic rock, pub rock, punk blues, rautalanka, rock andaluz, rock andino, rock and roll, rock opera, rock urbano, roots rock, soft rock, southern rock, sufi rock, surf, swamp rock, symphonic rock, visual kei, zolo",,,
electronic,1114884,"electronic music","digital cumbia, electronic rock, electro swing, electrotango","ebm, electro-disco, electropunk, livetronica, new wave, novo dub, picopop, post-classical, power noise, tecnobrega","algorave, bit music, celtic electronica, chillsynth, club, digital fusion, downtempo, drift phonk, dungeon synth, edm, electronica, experimental electronic, flashcore, folktronica, funktronica, futurepop, glitch, hexd, horror synth, idm, illbient, indietronica, leftfield, microsound, minatory, minimal wave, moogsploitation, nightcore, nu disco, nu jazz, progressive electronic, psybient, seapunk, synthwave, vaporwave, wave, witch house",,,
pop,656999,"pop music","bhangra, bitpop, canzone neomelodica, country pop, folk pop, pop rock, pop soul","blue-eyed soul, bubblegum bass, glitch pop, hamburger schule, idol kayō, indie rock, koplo, modern laiko, nashville sound, pagode romântico, pop metal, pop punk, pop raï, pop rap, qaraami, qasidah modern, reggae-pop, rhumba, rumba catalana, salsa romántica, sertanejo romântico, sertanejo universitário, swamp rock, urban cowboy, vocal trance, zohioliin duu","alternative pop, ambient pop, art pop, avant-garde pop, bardcore, baroque pop, brill building, bubblegum pop, canción melódica, city pop, classical crossover, contemporary christian, c-pop, dance-pop, dansband, dansktop, denpa, easy listening, electropop, europop, flamenco pop, hyperpop, hypnagogic pop, indian pop, indie pop, jazz pop, jesus music, j-pop, kayōkyoku, korean ballad, k-pop, latin pop, levenslied, mulatós, nederpop, neo-acoustic, nyū myūjikku, operatic pop, opm, orthodox pop, palingsound, persian pop, pop ghazal, progressive pop, psychedelic pop, q-pop, rom kbach, russian chanson, schlager, shibuya-kei, sophisti-pop, sundanese pop, sunshine pop, synth-pop, teen pop, traditional pop, v-pop, wong shadow, yé-yé",,,
jazz,352212,"","acid jazz, afrobeat, boogaloo, flamenco jazz, jazz blues, samba-jazz, third stream, world fusion","bossa nova, compas, digital fusion, electric texas blues, funk, humppa, jazz poetry, jazz pop, jazz rap, jazz rock, jazzstep, kwela, lounge, makossa, mod, mood kayō, muziki wa dansi, new orleans blues, nuevo flamenco, nuevo tango, nu jazz, onda nueva, pluggnb, post-minimalism, post-rock, progressive bluegrass, progressive rock, qaraami, rhumba, sambalanço, shidaiqu, skiffle, songo, sophisti-pop, texas blues, zeuhl, zydeco","afro-jazz, avant-garde jazz, bebop, big band, cape jazz, classic jazz, contemporary jazz, cool jazz, crime jazz, crossover jazz, dark jazz, dixieland, ethio-jazz, free jazz, gypsy jazz, hard bop, indo jazz, instrumental jazz, jazz-funk, jazz fusion, latin jazz, marabi, modal jazz, modern creative, orchestral jazz, post-bop, smooth jazz, soul jazz, stride, swing, vocal jazz","blues, ragtime",,
hip hop,264639,"hip-hop, hiphop, rap","acid jazz, country rap, emo rap, glitch hop, ragga hip-hop, rapcore, rap rock, rapso","beatboxing, bro-country, dembow, folkhop, footwork, freestyle, funk carioca, g-house, grebo, grime, hip hop soul, hip house, illbient, kapuka, k-pop, kwaito, mahraganat, mangue beat, merenhouse, neo soul, new jack swing, nu metal, rap metal, reggaeton, salsa choke, trip hop, uk street soul","abstract hip hop, afroswing, afro trap, alternative hip hop, arabesk rap, battle rap, bongo flava, boom bap, bounce, chicano rap, chipmunk soul, chopped and screwed, christian hip hop, cloud rap, comedy hip hop, conscious hip hop, crunk, digicore, drumless hip hop, east coast hip hop, experimental hip hop, gangsta rap, genge, g-funk, hardcore hip hop, hiplife, horrorcore, hyphy, instrumental hip hop, jazz rap, jerk rap, miami bass, mobb music, nerdcore, old school hip hop, phonk, political hip hop, pop rap, punk rap, snap, southern hip hop, trap, turntablism, underground hip hop, west coast hip hop","disco, funk, reggae",,
experimental,260041,"experimental music",,,"conducted improvisation, data sonification, noise, plunderphonics, reductionism, sound art, sound collage, tape music",,,
ambient,252221,"","ambient dub","ambient house, ambient noise wall, ambient pop, ambient techno, ambient trance, atmospheric drum and bass, dark folk, downtempo, dreampunk, dungeon synth, illbient, post-rock, progressive electronic, psybient, weightless","ambient americana, space ambient, tribal ambient",,,
classical,246588,"art music",,,"andalusian classical, chinese classical, guoyue, indian classical, islamic modal music, japanese classical, korean classical, persian classical, pìobaireachd, shashmaqam, southeast asian classical, sufiana kalam, vietnamese classical, western classical",,,
punk,236075,"",,"brutal prog, miejski folk, nwobhm, punk rap","alternative punk, anarcho-punk, art punk, cowpunk, electropunk, folk punk, post-hardcore, punk rock","garage rock, neo-rockabilly, proto-punk",,
metal,233895,"","funk metal, grindcore, industrial metal, metalcore","darksynth, d-beat, deathstep","alternative metal, avant-garde metal, black metal, christian metal, death metal, doom metal, drone metal, folk metal, gothic metal, groove metal, heavy metal, kawaii metal, neoclassical metal, pop metal, post-metal, power metal, progressive metal, sludge metal, southern metal, stoner metal, symphonic metal, thrash metal, trance metal, viking metal","blues rock",,
alternative rock,230177,"alt rock, alt-rock","alternative dance","garage rock revival, mangue beat","britpop, dream pop, emo, grebo, grunge, indie rock, j-rock, lo-fi, post-britpop, post-grunge, shoegaze",,"rock",
indie rock,176301,"",,"garage rock revival, indie folk, math pop, midwest emo, new rave, post-britpop, post-punk revival, shoegaze, yakousei","dunedin sound, hamburger schule, indie surf, noise pop, slacker rock, slowcore","pop","alternative rock",
pop rock,171626,"pop-rock, pop/rock",,"freakbeat, glam rock, heartland rock, idol kayō, neo-traditional country, new wave, semi-trot, vocal surf","beat music, burmese stereo, jangle pop, manila sound, power pop, tropical rock",,,"pop, rock"
folk,152267,"","bhangra, chalga, desert blues, disco polo, world fusion","ballad opera, ethio-jazz, folk metal, folk punk, folk rock, folktronica, gypsy jazz, gypsy punk, miejski folk, mulatós, pacific reggae, pagan black metal, post-minimalism, progressive bluegrass, rock andino, southern rock, traditional country, tribal ambient, tribal house, viking metal, viking rock, volkstümliche musik, zhongguo feng","appalachian folk, bagad, celtic, contemporary folk, falak, fife and drum blues, neo-medieval folk, old-time, pagan folk, scrumpy and western, sea shanty, seguidilla, sevdalinka, sevillanas, skiffle, stornello, sutartinės, tajaraste, talking blues, tarantella, visa, waulking song, white voice, yodeling",,,
country,144177,"country music","country and irish, country folk, country pop, country rap, country rock, country soul","americana, cowpunk, roots rock, southern rock, vude","alternative country, bakersfield sound, bluegrass, classic country, contemporary country, country yodeling, honky tonk, nashville sound, progressive country, red dirt, texas country, traditional country, truck driving country, urban cowboy, western, western swing",,,
house,138346,"","bubbling house","bassline, budots, florida breaks, kuduro, manyao, merenhouse, nortec, salsa choke, synthwave","acid house, afro house, amapiano, ambient house, balearic beat, ballroom house, bass house, big room house, brazilian bass, changa tuki, chicago house, deep house, diva house, electro house, euro house, festival progressive house, french house, funky house, future bounce, future funk, future house, garage house, ghetto house, g-house, gqom, hard house, hip house, italo house, jersey sound, kwaito, latin house, microhouse, organic house, outsider house, progressive house, slap house, speed house, tech house, tribal house, tropical house, vinahouse, vocal house","disco","edm",
heavy metal,136224,"",,"black 'n' roll, burning spirits, death 'n' roll, epic doom metal, melodic death metal, neoclassical metal, power metal, stenchcore, traditional doom metal, visual kei","nwobhm, speed metal","hard rock","metal",
hard rock,135143,"heavy rock",,"black 'n' roll, death 'n' roll, heavy metal, heavy psych, medieval rock, occult rock, southern rock","glam metal, stoner rock","acid rock, blues rock","rock",
soul,130600,"","acid jazz, country soul, pop soul","chipmunk soul, funk, korean ballad, qaraami, reggae-pop, rocksteady, samba soul, sophisti-pop, soul blues, soul jazz, uk street soul","chicago soul, deep soul, latin soul, neo soul, northern soul, philly soul, psychedelic soul, smooth soul, southern soul","big band, gospel, r&b",,
blues,129244,"","blues rock, jazz blues, vaudeville blues","americana, deep soul, dixieland, jazz, korean ballad, nuevo flamenco, occult rock, rock and roll, roots rock, southern metal, swamp pop, traditional black gospel, traditional country, vocal jazz, zydeco","acoustic blues, african blues, boogie-woogie, british blues, chicago blues, classic blues, country blues, delta blues, electric blues, hill country blues, jump blues, louisiana blues, modern blues, new orleans blues, piano blues, soul blues, texas blues","spirituals",,
techno,124167,"",,"changa tuki, hardcore techno, hardvapour, kuduro, nerdcore techno, nu skool breaks, skweee, tech house, tech trance, trance, tribal guarachero","acid techno, ambient techno, bleep techno, deep techno, detroit techno, free tekno, hardgroove techno, industrial techno, makina, melodic techno, minimal techno, peak time techno, schranz, wonky techno",,"edm",
industrial,113637,"industrial music","industrial metal, industrial rock","ebm, industrial hardcore, industrial hip hop, industrial techno, neue deutsche welle, power electronics, steampunk","death industrial, electro-industrial, post-industrial","krautrock, musique concrète, noise",,
downtempo,111158,"",,"barber beats, chillstep, lo-fi hip hop, organic house","trip hop","ambient","electronic",
synth-pop,107754,"synth pop, synthpop",,"chicago house, dark wave, denpa, electropop, futurepop, hypnagogic pop, minimal synth, neue deutsche welle, new romantic, pon-chak disco, spacesynth, steampunk, synthwave, techno kayō, township bubblegum, utopian virtual",,"progressive electronic","pop",
electro,105278,"",,"florida breaks, freestyle, funk carioca, ghettotech, memphis rap, miami bass, techno bass, wonky techno","skweee",,"dance",
classic rock,104827,"",,,,,"rock",
folk rock,93151,"folk-rock",,"jangle pop, jesus music, neo-acoustic, slowcore","british folk rock, celtic rock, medieval rock, phleng phuea chiwit","folk","rock",
black metal,93027,"","blackgaze","black ambient, blackened crust, blackened death metal, black noise, dungeon synth, neocrust, viking metal","atmospheric black metal, black 'n' roll, depressive black metal, melodic black metal, pagan black metal, symphonic black metal, war metal",,"metal",
reggae,89645,"","axé, samba-reggae, seggae","dub poetry, dubwise, hip hop, kaneka, kapuka, koplo, tropical rock, uk street soul","dancehall, dub, gospel reggae, lovers rock, pacific reggae, reggae-pop, roots reggae, skinhead reggae","mento, r&b, rocksteady, ska",,
death metal,87837,"","deathcore, deathgrind","death-doom metal, goregrind, stenchcore, war metal","blackened death metal, brutal death metal, death 'n' roll, melodic death metal, old school death metal, technical death metal",,"metal",
